anio,trimestre,periodo,aglomerado,n_personas_muestra,n_hogares_muestra,poblacion_expandida_total,poblacion_expandida_mayor10,pea_expandida,ocupados_expandidos,desocupados_expandidos,inactivos_expandidos,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_inactividad,tasa_informalidad,ingreso_promedio_observado,ingreso_mediano_observado,ingreso_promedio_ponderado_observado,n_ocupados_con_ingreso_valido,n_ocupados_sin_respuesta_ingreso,tasa_no_respuesta_ingresos_ocupados,hogares_encuestados,tasa_no_respuesta_hogar,fecha_procesamiento,fuente
2023,1,2023T1,18,1475,426,411689,354503,186884,185056,1828,167619,52.72,52.2,0.98,47.28,,66931.0,60000.0,68035.0,621,6,0.95,426,0.0,2026-07-05 22:00:18,INDEC - EPH microdatos públicos
2023,2,2023T2,18,1579,447,412526,356132,184607,181696,2911,171525,51.84,51.02,1.58,48.16,,88170.0,80000.0,91762.0,669,3,0.44,447,0.0,2026-07-05 22:00:19,INDEC - EPH microdatos públicos
2023,3,2023T3,18,1680,458,413360,358550,188189,187342,847,170361,52.49,52.25,0.45,47.51,,96570.0,80000.0,101247.0,713,4,0.56,458,0.0,2026-07-05 22:00:20,INDEC - EPH microdatos públicos
2023,4,2023T4,18,1499,420,414278,361238,184772,182955,1817,176466,51.15,50.65,0.98,48.85,57.93,121987.0,100000.0,126463.0,619,7,1.12,420,0.0,2026-07-05 22:00:22,INDEC - EPH microdatos públicos
2024,1,2024T1,18,1356,399,415120,358609,187155,182449,4706,171454,52.19,50.88,2.51,47.81,55.67,175709.0,150000.0,176878.0,574,9,1.53,399,0.0,2026-07-05 22:00:23,INDEC - EPH microdatos públicos
2024,2,2024T2,18,1412,406,415929,356971,186136,184796,1340,170835,52.14,51.77,0.72,47.86,52.78,273813.0,250000.0,286188.0,605,7,1.14,406,0.0,2026-07-05 22:00:25,INDEC - EPH microdatos públicos
2024,3,2024T3,18,1500,423,416829,361117,177490,175818,1672,183627,49.15,48.69,0.94,50.85,55.92,341693.0,300000.0,349993.0,596,22,3.55,423,0.0,2026-07-05 22:00:26,INDEC - EPH microdatos públicos
2024,4,2024T4,18,1438,428,417643,364344,179194,176428,2766,185150,49.18,48.42,1.54,50.82,54.85,410958.0,350000.0,421100.0,598,12,1.96,428,0.0,2026-07-05 22:00:28,INDEC - EPH microdatos públicos
2025,1,2025T1,18,1307,403,418500,363412,182329,180502,1827,181083,50.17,49.67,1.0,49.83,52.21,488478.0,450000.0,496837.0,536,19,3.41,403,0.0,2026-07-05 22:00:29,INDEC - EPH microdatos públicos
2025,2,2025T2,18,1332,400,419382,370253,176088,172789,3299,194165,47.56,46.67,1.87,52.44,54.39,573987.0,500000.0,606027.0,522,20,3.67,400,0.0,2026-07-05 22:01:52,INDEC - EPH microdatos públicos
2025,3,2025T3,18,1457,422,420187,372821,172784,170358,2426,200037,46.35,45.69,1.4,53.65,58.76,653158.0,600000.0,668294.0,582,19,3.15,422,0.0,2026-07-05 22:00:31,INDEC - EPH microdatos públicos
2025,4,2025T4,18,1411,415,420976,376817,173558,172461,1097,203259,46.06,45.77,0.63,53.94,55.21,752462.0,700000.0,789090.0,589,11,1.83,415,0.0,2026-07-05 22:00:32,INDEC - EPH microdatos públicos
